date,fold,best_dice,best_epoch,train_loss_final,duration,gpu_count,batch_size,num_workers,lr,epochs,img_size,model_name,optimizer,scheduler,loss
2026-02-13 17:08:24,2,0.8997,78,0.0244,5:03:45,8,8,4,0.0001,100,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-14 14:26:48,0,0.9279,41,0.0319,2:37:01,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-14 14:26:50,3,0.9211,50,0.0316,2:37:33,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-14 14:26:49,1,0.9350,49,0.0336,2:38:07,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-14 14:26:56,4,0.9237,41,0.0314,2:38:41,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-14 14:26:49,2,0.8989,35,0.0302,2:40:28,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-15 02:49:18,0,0.9286,48,0.0312,2:30:36,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-15 02:49:24,1,0.9347,37,0.0333,2:31:37,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-15 02:49:39,3,0.9201,46,0.0318,2:32:21,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-15 02:49:55,4,0.9237,41,0.0317,2:33:04,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-15 02:49:29,2,0.8981,33,0.0304,2:34:36,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-17 19:14:22,0,0.9229,36,0.0309,2:44:41,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-17 19:15:13,1,0.9339,49,0.0335,2:47:11,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-17 19:15:23,3,0.9123,46,0.0313,2:48:53,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-17 19:15:32,4,0.9152,26,0.0315,2:49:40,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-17 19:15:16,2,0.8937,34,0.0301,2:51:06,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-20 16:13:33,0,0.9206,28,0.0316,2:19:31,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-20 16:16:35,1,0.9340,23,0.0345,2:26:44,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-20 16:16:57,3,0.9119,46,0.0319,2:27:24,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-20 16:17:08,4,0.9139,39,0.0324,2:27:45,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-20 16:16:52,2,0.8886,34,0.0308,2:29:05,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 03:22:09,0,0.9191,39,0.0317,2:38:22,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 03:22:21,1,0.9284,46,0.0347,2:39:29,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 03:22:44,3,0.9103,50,0.0325,2:39:56,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 03:22:51,4,0.9128,40,0.0327,2:40:39,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 03:22:34,2,0.8882,24,0.0311,2:42:14,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 06:24:26,0,0.9189,41,0.0330,2:38:29,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 06:24:39,1,0.9297,25,0.0354,2:39:51,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 06:24:57,3,0.9065,32,0.0334,2:40:23,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 06:25:07,4,0.9110,34,0.0330,2:41:02,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-21 06:24:49,2,0.8843,26,0.0319,2:42:40,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-22 11:13:28,0,0.8792,40,0.0298,2:47:51,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-22 11:13:32,1,0.8820,46,0.0323,2:48:27,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-22 11:13:49,3,0.8483,37,0.0302,2:49:03,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-22 11:13:57,4,0.8615,23,0.0303,2:49:59,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-22 11:13:41,2,0.8187,34,0.0302,2:51:47,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 10:21:20,0,0.8770,48,0.0319,2:48:45,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 10:21:29,1,0.8808,47,0.0345,2:51:21,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 10:21:41,3,0.8460,45,0.0316,2:52:42,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 10:21:54,4,0.8625,43,0.0314,2:52:56,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 10:21:32,2,0.8160,48,0.0304,2:54:57,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 13:48:35,0,0.8788,50,0.0304,2:51:23,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 13:48:51,1,0.8833,50,0.0321,2:56:05,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 13:48:57,3,0.8500,46,0.0307,2:56:51,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 13:49:16,4,0.8615,23,0.0308,2:56:51,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 13:48:44,2,0.8195,34,0.0292,2:58:47,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 17:54:40,0,0.8582,48,0.0545,2:10:05,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 17:55:04,3,0.8101,49,0.0529,2:11:38,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 17:55:11,1,0.8656,50,0.0589,2:11:45,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 17:55:16,4,0.8365,50,0.0525,2:11:53,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-23 17:55:03,2,0.7774,42,0.0510,2:12:09,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-24 03:56:49,0,0.8748,48,0.0339,2:17:47,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-24 03:57:26,3,0.8360,41,0.0339,2:19:33,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-24 03:56:53,1,0.8797,47,0.0363,2:20:10,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
2026-02-24 03:57:27,4,0.8526,23,0.0334,2:20:05,8,8,4,0.0001,50,1024,ST-SAM (Sam2-Hiera-L + GatedDilatedStripAdapter),AdamW,None,Dice + BCE
